topic_sports_location_illinois_zach johnson,0.5714285714
topic_sports_location_illinois_wild card,0.5714285714
topic_sports_location_illinois_training camp,0.5714285714
topic_sports_location_illinois_tiger woods,0.5714285714
topic_sports_location_illinois_tied the score,0.5714285714
topic_sports_location_illinois_the nl central,0.5714285714
topic_sports_location_illinois_saturday night,0.5714285714
topic_sports_location_illinois_sacrifice fly,0.5714285714
topic_sports_location_illinois_power play,0.5714285714
topic_sports_location_illinois_playoff series,0.5714285714
topic_sports_location_illinois_losing streak,0.5714285714
topic_sports_location_illinois_home run,0.5714285714
topic_sports_location_illinois_hits in innings,0.5714285714
topic_sports_location_illinois_center field,0.5714285714
topic_sports_location_illinois_blue jays,0.5714285714
topic_sports_location_illinois_bases loaded,0.5714285714
topic_sports_location_illinois_allowed one run,0.5714285714
topic_sports_location_illinois_two run single,0.5642857143
topic_sports_location_illinois_two run homer,0.5642857143
topic_sports_location_illinois_two run double,0.5642857143
topic_sports_location_illinois_the united states,0.5642857143
topic_sports_location_illinois_the los angeles kings,0.5642857143
topic_sports_location_illinois_run scoring single,0.5642857143
topic_sports_location_illinois_pinch hitter,0.5642857143
topic_sports_location_illinois_major league,0.5642857143
topic_sports_location_illinois_kirk hinrich,0.5642857143
topic_sports_location_illinois_general manager,0.5642857143
topic_sports_location_illinois_game suspension,0.5642857143
topic_sports_location_illinois_francisco liriano,0.5642857143
topic_sports_location_illinois_a season high,0.5642857143
topic_sports_location_illinois_western conference,0.5571428571
topic_sports_location_illinois_three run homer,0.5571428571
topic_sports_location_illinois_the detroit tigers,0.5571428571
topic_sports_location_illinois_save percentage,0.5571428571
topic_sports_location_illinois_quarterback aaron rodgers,0.5571428571
topic_sports_location_illinois_playoff game,0.5571428571
topic_sports_location_illinois_nathan horton,0.5571428571
topic_sports_location_illinois_hit a tiebreaking,0.5571428571
topic_sports_location_illinois_game winning streak,0.5571428571
topic_sports_location_illinois_derek jeter,0.5571428571
topic_sports_location_illinois_curtis granderson,0.5571428571
